current_id,disposition,target_item_id,reason_code
tensor-stride-offset,merge,R4.1,CORE_MECHANISM
tensor-contiguity-reshape,merge,R4.1,CORE_MECHANISM
sram-gemm-tiling,merge,E1.2,CORE_MECHANISM
roofline-intensity-classifier,merge,E1.1,CORE_MECHANISM
autograd-vjp-dag,merge,R6.1,CORE_MECHANISM
activation-checkpointing,merge,R6.3,CORE_MECHANISM
fused-softmax-lse,merge,R4.2,DUPLICATE_FAMILY
affine-quantization-sq8,merge,E3.1,DUPLICATE_FAMILY
smoothquant-scaling,merge,E3.1,DUPLICATE_FAMILY
lsh-vector-hashing,reference,E6.2,OPTIONAL_DEPTH
ivf-pq-adc-search,retire,E6.2,EXACT_DUPLICATE
hnsw-vector-search,merge,E6.1,DUPLICATE_FAMILY
bpe-tokenizer,merge,E4.1,DUPLICATE_FAMILY
viterbi-subword-segmenter,reference,E4.1,OPTIONAL_DEPTH
xgboost-gradient-split,merge,E7.1,DUPLICATE_FAMILY
im2col-conv-tiling,merge,E8.1,DUPLICATE_FAMILY
lstm-constant-error-carousel,merge,E8.2,DUPLICATE_FAMILY
scaled-dot-attention-mask,merge,E4.2,DUPLICATE_FAMILY
rope-rotary-position,reference,E4.2,OPTIONAL_DEPTH
grouped-query-attention,merge,E4.3,DUPLICATE_FAMILY
flash-attention-tiling,reference,E5.3,OPTIONAL_DEPTH
triton-kernel-fusion,rework,E3.2,AUTHENTICITY
ring-allreduce-partition,merge,E2.1,DUPLICATE_FAMILY
megatron-tp-sp-split,merge,E2.2,DUPLICATE_FAMILY
deepspeed-zero-sharding,merge,E2.3,DUPLICATE_FAMILY
paged-attention-block-table,merge,E5.1,DUPLICATE_FAMILY
continuous-batching-scheduler,merge,E5.2,DUPLICATE_FAMILY
speculative-decoding-verifier,merge,E5.3,DUPLICATE_FAMILY
2d-array-matrix-traversal,move,-,GENERIC_DSA
strided-index-arithmetic,merge,R4.1,DUPLICATE_FAMILY
matrix-multiplication-naive,retire,E1.2,EXACT_DUPLICATE
topological-sort-dag,move,-,GENERIC_DSA
floating-point-overflow,merge,R4.3,DUPLICATE_FAMILY
distance-metrics-knn,merge,E6.2,CORE_MECHANISM
trie-prefix-tree-search,move,-,GENERIC_DSA
decision-tree-gini-split,merge,E7.1,DUPLICATE_FAMILY
conv2d-sliding-window,merge,E8.1,DUPLICATE_FAMILY
recurrent-unrolling-bptt,retain,E8.2,SELECTED_CORE
onnx-operator-fusion,merge,E3.2,DUPLICATE_FAMILY
tensorrt-engine-optimizer,merge,E3.2,DUPLICATE_FAMILY
tvm-relay-graph-lowering,merge,E3.2,DUPLICATE_FAMILY
xla-hlo-graph-optimizer,merge,E3.2,DUPLICATE_FAMILY
tensor-contiguity-verifier,rework,R4.1,FACTUAL_CORRECTION
strided-1d-dot-product,merge,R4.1,DUPLICATE_FAMILY
anti-diagonal-extraction,move,-,GENERIC_DSA
transpose-square-matrix,retire,R4.1,EXACT_DUPLICATE
flatten-2d-grid,retire,-,EXACT_DUPLICATE
strided-max-pooling,reference,R4.1,OPTIONAL_DEPTH
as-strided-tensor-view-engine,merge,R4.1,CORE_MECHANISM
virtual-matrix-addition-zero-stride,reference,R4.1,OPTIONAL_DEPTH
matrix-block-sum-flat,move,-,GENERIC_DSA
rotate-image-flat-buffer,move,-,GENERIC_DSA
find-first-occurrence-1d,move,-,GENERIC_DSA
valid-neighbor-grid-bounds,move,-,GENERIC_DSA
zero-copy-im2col-stride-unroller,merge,E8.1,DUPLICATE_FAMILY
aligned-simt-block-tiling,reference,E1.2,OPTIONAL_DEPTH
flatten-strided-nd-view,merge,R4.1,DUPLICATE_FAMILY
conv1d-shared-memory-scratchpad,reference,E1.2,OPTIONAL_DEPTH
diagonal-cache-thrashing,reference,E1.3,OPTIONAL_DEPTH
submatrix-sum-2d-query,move,-,GENERIC_DSA
vector-dot-product-mac,merge,E1.1,CORE_MECHANISM
